sepal_area,petal_area,variety
17.849999999999998,0.28,"Setosa"
14.699999999999998,0.28,"Setosa"
15.040000000000001,0.26,"Setosa"
14.26,0.3,"Setosa"
18,0.28,"Setosa"
21.059999999999995,0.6800000000000002,"Setosa"
15.639999999999997,0.42000000000000004,"Setosa"
17,0.3,"Setosa"
12.76,0.27999999999999997,"Setosa"
14.679999999999998,0.15,"Setosa"
19.98,0.30000000000000004,"Setosa"
16.32,0.32,"Setosa"
14.399999999999999,0.14,"Setosa"
12.899999999999999,0.11,"Setosa"
29.200000000000003,0.24000000000000002,"Setosa"
25.080000000000002,0.6,"Setosa"
21.059999999999995,0.5200000000000001,"Setosa"
18.139999999999997,0.42000000000000004,"Setosa"
23.100000000000005,0.5100000000000001,"Setosa"
20.53,0.45,"Setosa"
21.739999999999995,0.6000000000000001,"Setosa"
16.56,0.2,"Setosa"
24.97,0.8500000000000001,"Setosa"
20.4,0.38,"Setosa"
18.299999999999997,0.32,"Setosa"
20.400000000000002,0.64,"Setosa"
20.74,0.3,"Setosa"
22.12,0.28,"Setosa"
19.14,0.32,"Setosa"
20.68,0.32,"Setosa"
24.62,0.6,"Setosa"
22.27,0.15000000000000002,"Setosa"
23.1,0.28,"Setosa"
19.59,0.28,"Setosa"
20,0.24000000000000002,"Setosa"
19.939999999999998,0.36,"Setosa"
18.0,0.09999999999999999,"Setosa"
16.68,0.26,"Setosa"
20.77,0.44999999999999996,"Setosa"
24.5,0.2,"Setosa"
20.299999999999997,0.6,"Setosa"
20.02,0.5600000000000002,"Setosa"
20.770000000000003,0.24,"Setosa"
21.39,0.42000000000000004,"Setosa"
17.64,0.15000000000000002,"Setosa"
21.159999999999997,0.6400000000000001,"Setosa"
23.28,0.5700000000000001,"Setosa"
21.060000000000002,0.26,"Setosa"
19.739999999999995,0.32000000000000006,"Setosa"
22.95,0.24000000000000002,"Setosa"
20.1,0.52,"Setosa"
32.199999999999996,5.079999999999999,"Versicolor"
20.48,6.75,"Versicolor"
29.59,7.3500000000000005,"Versicolor"
11.5,4.0,"Versicolor"
18.7,6.8999999999999995,"Versicolor"
16.65,5.849999999999999,"Versicolor"
22.68,7.52,"Versicolor"
11.76,3.3,"Versicolor"
19.139999999999997,6.44,"Versicolor"
14.040000000000001,5.46,"Versicolor"
15.0,3.5,"Versicolor"
17.699999999999996,6.299999999999999,"Versicolor"
13.200000000000001,4.0,"Versicolor"
17.439999999999998,6.58,"Versicolor"
16.47,4.68,"Versicolor"
20.74,6.160000000000001,"Versicolor"
13.799999999999999,5.3999999999999995,"Versicolor"
16.29,4.1000000000000005,"Versicolor"
13.020000000000001,3.4,"Versicolor"
19.04,7.200000000000001,"Versicolor"
17.2,5.2,"Versicolor"
22.68,7.3500000000000005,"Versicolor"
18.960000000000004,5.64,"Versicolor"
18.06,4.299999999999999,"Versicolor"
19.799999999999997,5.319999999999999,"Versicolor"
19.04,6.0200000000000005,"Versicolor"
19.04,5.320000000000001,"Versicolor"
20.020000000000003,6.72,"Versicolor"
17.550000000000004,6.75,"Versicolor"
14.249999999999998,5.25,"Versicolor"
12.75,4.18,"Versicolor"
13.200000000000001,3.6999999999999997,"Versicolor"
15.66,6.24,"Versicolor"
20.4,5.040000000000001,"Versicolor"
23.04,6.8,"Versicolor"
22.079999999999995,7.3500000000000005,"Versicolor"
21.38,6.0200000000000005,"Versicolor"
18.06,4.28,"Versicolor"
16.25,5.2,"Versicolor"
18.600000000000005,4.0,"Versicolor"
23.1,5.43,"Versicolor"
20.37,4.8,"Versicolor"
21.659999999999997,5.2,"Versicolor"
21.66,6.93,"Versicolor"
17.399999999999995,4.599999999999999,"Versicolor"
20.02,6.02,"Versicolor"
15.35,3.3,"Versicolor"
20.16,5.46,"Versicolor"
20.6,5.4,"Versicolor"
20.66,5.85,"Versicolor"
21.420000000000005,6.209999999999999,"Versicolor"
15.4,3.5999999999999996,"Versicolor"
